Date,AAPL,CVX,JNJ,MSFT,NVDA,PFE,UNH,XOM
2019-01-02,148158800,6384800,7631700,35329300,508752000,26430315,4063600,16727200
2019-01-03,365248800,6496200,8654500,42579100,705552000,28503533,4623200,13866100
2019-01-04,234428400,7952500,8831700,44060600,585620000,27145348,5367600,16043600
2019-01-07,219111200,5712700,8404700,35656100,709160000,20995469,4133000,10844200
2019-01-08,164101200,5674900,9351600,31514400,786016000,19677231,3618600,11439000
2019-01-09,180396400,7097000,7403500,32280800,617260000,20107580,3425400,13473500
2019-01-10,143122800,6078300,6224400,30067600,523156000,39731162,3374100,13151100
2019-01-11,108092800,4491700,5300400,28314200,874764000,21064506,3967100,9790100
2019-01-14,129756800,6121700,7374400,28437100,730168000,17605173,4955500,11012400
2019-01-15,114843600,4226100,5194400,31587600,617012000,25865371,5325600,10298300
2019-01-16,122278800,5624100,6264200,29853900,470104000,30169380,6069400,12595600
2019-01-17,119284800,4442700,7632000,28393000,493436000,24177284,3583600,10141700
2019-01-18,135004000,9382000,10593000,37427600,651336000,38618455,4844800,15759200
2019-01-22,121576000,7242000,10568100,32371300,661552000,29444122,4052700,15035600
2019-01-23,92522400,6082300,9267800,25874300,591020000,24462813,2971100,13187200
2019-01-24,101766000,8470700,9917000,23164800,708972000,34394023,2927300,11272500
2019-01-25,134142000,6261800,7585100,31225600,1154572000,35862455,2809100,8996200
2019-01-28,104768400,6886600,6927700,29476700,2511528000,39329694,2837300,13678400
2019-01-29,166348800,5359900,6669300,31490500,1153932000,51376808,2173000,10513200
2019-01-30,244439200,7941700,7299300,49471900,974228000,36067880,3659000,11524700
2019-01-31,162958400,11225600,17298100,55636400,842852000,40927452,4055100,19876700
2019-02-01,130672400,10934300,9575200,35535700,625048000,27239681,3946800,22968700
2019-02-04,125982000,7987900,7759000,31315100,528592000,19426485,3398900,15483800
2019-02-05,144406400,6887400,6449800,27325400,542424000,21127641,3597000,12786700
2019-02-06,112958400,4990400,5066100,20609800,702464000,16450410,2570000,10866900
2019-02-07,126966800,7281900,6085300,29760700,637120000,24248008,2458200,14418900
2019-02-08,95280000,5671000,4436700,21461100,461604000,27500125,4547000,11959500
2019-02-11,83973600,4859600,4962200,18914100,495180000,27102134,4856200,10434800
2019-02-12,89134000,5400700,6262300,25056600,591060000,30540177,4327900,12599200
2019-02-13,89960800,5935900,7902200,18394900,605372000,24757195,3066400,13214600
2019-02-14,87342800,5406500,3910400,21784700,827264000,19864949,3015300,12772900
2019-02-15,98507200,6209800,6665000,26606900,1516748000,19168993,3673700,14330300
2019-02-19,75891200,4277800,5935500,18038500,551892000,24432985,2486700,13551500
2019-02-20,104457600,5940600,6089800,21607700,540988000,27354884,2802800,12633100
2019-02-21,68998800,5139400,6665500,29063200,448548000,19611883,2554300,10266000
