iter,D_recovery,E_recovery
0,0.2695,0.2695
1,0.6758,0.1387
2,0.9316,0.0820
3,0.9805,0.1367
4,0.9961,0.1211
5,1.0000,0.1094
6,1.0000,0.1055
7,0.9980,0.1270
8,1.0000,0.0879
9,1.0000,0.0957
10,1.0000,0.1582
11,0.9980,0.0957
12,1.0000,0.1387
13,0.9980,0.1094
14,1.0000,0.1133
15,1.0000,0.0957
16,1.0000,0.1309
17,0.9980,0.1191
18,1.0000,0.1055
19,1.0000,0.0938
20,1.0000,0.1270
21,1.0000,0.1191
22,1.0000,0.0918
23,1.0000,0.1230
24,1.0000,0.1230
25,1.0000,0.1328
26,1.0000,0.0977
27,0.9980,0.1309
28,1.0000,0.1035
29,1.0000,0.1230
30,1.0000,0.1289
31,1.0000,0.1172
32,1.0000,0.1074
33,1.0000,0.1133
34,1.0000,0.1094
35,1.0000,0.1016
36,1.0000,0.1230
37,1.0000,0.1152
38,1.0000,0.1035
39,1.0000,0.1387
40,1.0000,0.0879
41,1.0000,0.1270
42,1.0000,0.1133
43,1.0000,0.0957
44,1.0000,0.1191
45,1.0000,0.1270
46,1.0000,0.1309
47,1.0000,0.0781
48,1.0000,0.1582
49,1.0000,0.1113
50,1.0000,0.1133
51,1.0000,0.1309
52,1.0000,0.0742
53,1.0000,0.1094
54,1.0000,0.1191
55,1.0000,0.1211
56,1.0000,0.1309
57,1.0000,0.1133
58,1.0000,0.0898
59,1.0000,0.1152
60,1.0000,0.1602
61,1.0000,0.1094
62,1.0000,0.1055
63,1.0000,0.1230
64,1.0000,0.1016
65,1.0000,0.1367
66,1.0000,0.1055
67,1.0000,0.1504
68,1.0000,0.0918
69,1.0000,0.1133
70,1.0000,0.0977
71,1.0000,0.1387
72,0.9980,0.0996
73,1.0000,0.1289
74,1.0000,0.1035
75,1.0000,0.1191
76,1.0000,0.1289
77,1.0000,0.1094
78,1.0000,0.1230
79,1.0000,0.1074
80,1.0000,0.0840
81,1.0000,0.1328
82,1.0000,0.1367
83,1.0000,0.0820
84,1.0000,0.1230
85,1.0000,0.1484
86,1.0000,0.1133
87,1.0000,0.0938
88,1.0000,0.1074
89,1.0000,0.1211
90,1.0000,0.1094
91,1.0000,0.1270
92,1.0000,0.1230
93,1.0000,0.1152
94,1.0000,0.0996
95,1.0000,0.1367
96,1.0000,0.1133
97,1.0000,0.1523
98,1.0000,0.0957
99,1.0000,0.1016
100,1.0000,0.1309
101,1.0000,0.1172
102,1.0000,0.1328
103,1.0000,0.1035
104,1.0000,0.1035
105,1.0000,0.1445
106,1.0000,0.0898
107,1.0000,0.1152
108,1.0000,0.0977
109,1.0000,0.1074
110,1.0000,0.1230
111,1.0000,0.1191
112,1.0000,0.1094
113,1.0000,0.1172
114,1.0000,0.1230
115,0.9980,0.1309
116,1.0000,0.1133
117,1.0000,0.0977
118,1.0000,0.1230
119,1.0000,0.1113
